sample_id,description
cps2010_08s,"IPUMS-CPS, August 2010"
cps2010_09s,"IPUMS-CPS, September 2010"
cps2010_10s,"IPUMS-CPS, October 2010"
cps2010_11s,"IPUMS-CPS, November 2010"
cps2010_12s,"IPUMS-CPS, December 2010"
cps2011_01s,"IPUMS-CPS, January 2011"
cps2011_02b,"IPUMS-CPS, February 2011"
cps2011_03b,"IPUMS-CPS, March 2011"
cps2011_03s,"IPUMS-CPS, ASEC 2011"
cps2011_04b,"IPUMS-CPS, April 2011"
cps2011_05s,"IPUMS-CPS, May 2011"
cps2011_06s,"IPUMS-CPS, June 2011"
cps2011_07s,"IPUMS-CPS, July 2011"
cps2011_08s,"IPUMS-CPS, August 2011"
cps2011_09s,"IPUMS-CPS, September 2011"
cps2011_10s,"IPUMS-CPS, October 2011"
cps2011_11s,"IPUMS-CPS, November 2011"
cps2011_12s,"IPUMS-CPS, December 2011"
cps2012_01s,"IPUMS-CPS, January 2012"
cps2012_02b,"IPUMS-CPS, February 2012"
cps2012_03b,"IPUMS-CPS, March 2012"
cps2012_03s,"IPUMS-CPS, ASEC 2012"
cps2012_04b,"IPUMS-CPS, April 2012"
cps2012_05s,"IPUMS-CPS, May 2012"
cps2012_06s,"IPUMS-CPS, June 2012"
cps2012_07s,"IPUMS-CPS, July 2012"
cps2012_08s,"IPUMS-CPS, August 2012"
cps2012_09s,"IPUMS-CPS, September 2012"
cps2012_10s,"IPUMS-CPS, October 2012"
cps2012_11s,"IPUMS-CPS, November 2012"
cps2012_12s,"IPUMS-CPS, December 2012"
cps2013_01b,"IPUMS-CPS, January 2013"
cps2013_02s,"IPUMS-CPS, February 2013"
cps2013_03b,"IPUMS-CPS, March 2013"
cps2013_03s,"IPUMS-CPS, ASEC 2013"
cps2013_04b,"IPUMS-CPS, April 2013"
cps2013_05b,"IPUMS-CPS, May 2013"
cps2013_06s,"IPUMS-CPS, June 2013"
cps2013_07s,"IPUMS-CPS, July 2013"
cps2013_08s,"IPUMS-CPS, August 2013"
cps2013_09s,"IPUMS-CPS, September 2013"
cps2013_10s,"IPUMS-CPS, October 2013"
cps2013_11s,"IPUMS-CPS, November 2013"
cps2013_12s,"IPUMS-CPS, December 2013"
cps2014_01s,"IPUMS-CPS, January 2014"
cps2014_02s,"IPUMS-CPS, February 2014"
cps2014_03b,"IPUMS-CPS, March 2014"
cps2014_03s,"IPUMS-CPS, ASEC 2014"
